city_key,name,state,state_fips,county_fips,population,place_fips,lat,lng
nyc,New York City,NY,36,36061|36005|36047|36081|36085,8335897,51000,40.7128,-74.0060
chicago,Chicago,IL,17,17031,2696555,14000,41.8781,-87.6298
los_angeles,Los Angeles,CA,06,06037,3898747,44000,34.0522,-118.2437
houston,Houston,TX,48,48201,2304580,35000,29.7604,-95.3698
boston,Boston,MA,25,25025,675647,07000,42.3601,-71.0589
phoenix,Phoenix,AZ,04,04013,1608139,55000,33.4484,-112.0740
philadelphia,Philadelphia,PA,42,42101,1603797,60000,39.9526,-75.1652
san_antonio,San Antonio,TX,48,48029,1434625,65000,29.4241,-98.4936
san_diego,San Diego,CA,06,06073,1386932,66000,32.7157,-117.1611
dallas,Dallas,TX,48,48113,1304379,19000,32.7767,-96.7970
san_jose,San Jose,CA,06,06085,1013240,68000,37.3382,-121.8863
austin,Austin,TX,48,48453,961855,05000,30.2672,-97.7431
jacksonville,Jacksonville,FL,12,12031,949611,35000,30.3322,-81.6557
fort_worth,Fort Worth,TX,48,48439,918915,27000,32.7555,-97.3308
columbus,Columbus,OH,39,39049,905748,18000,39.9612,-82.9988
charlotte,Charlotte,NC,37,37119,874579,12000,35.2271,-80.8431
indianapolis,Indianapolis,IN,18,18097,887232,36003,39.7684,-86.1581
san_francisco,San Francisco,CA,06,06075,873965,67000,37.7749,-122.4194
seattle,Seattle,WA,53,53033,737255,63000,47.6062,-122.3321
denver,Denver,CO,08,08031,715522,20000,39.7392,-104.9903
washington_dc,Washington DC,DC,11,11001,689545,50000,38.9072,-77.0369
nashville,Nashville,TN,47,47037,689447,52006,36.1627,-86.7816
oklahoma_city,Oklahoma City,OK,40,40109,681054,55000,35.4676,-97.5164
el_paso,El Paso,TX,48,48141,678815,24000,31.7619,-106.4850
las_vegas,Las Vegas,NV,32,32003,641903,40000,36.1699,-115.1398
louisville,Louisville,KY,21,21111,633045,48006,38.2527,-85.7585
memphis,Memphis,TN,47,47157,633104,48000,35.1495,-90.0490
detroit,Detroit,MI,26,26163,632464,22000,42.3314,-83.0458
portland,Portland,OR,41,41051,652503,59000,45.5231,-122.6765
baltimore,Baltimore,MD,24,24510,585708,04000,39.2904,-76.6122
milwaukee,Milwaukee,WI,55,55079,577222,53000,43.0389,-87.9065
albuquerque,Albuquerque,NM,35,35001,564559,02000,35.0844,-106.6504
tucson,Tucson,AZ,04,04019,542629,77000,32.2226,-110.9747
fresno,Fresno,CA,06,06019,542107,27000,36.7378,-119.7871
sacramento,Sacramento,CA,06,06067,524943,64000,38.5816,-121.4944
kansas_city,Kansas City,MO,29,29095|29047|29165,508090,38000,39.0997,-94.5786
atlanta,Atlanta,GA,13,13121|13089,498715,04000,33.7490,-84.3880
omaha,Omaha,NE,31,31055,486051,37000,41.2565,-95.9345
colorado_springs,Colorado Springs,CO,08,08041,478961,16000,38.8339,-104.8214
raleigh,Raleigh,NC,37,37183,467665,55000,35.7796,-78.6382
virginia_beach,Virginia Beach,VA,51,51810,459470,82000,36.8529,-75.9780
minneapolis,Minneapolis,MN,27,27053,429606,43000,44.9778,-93.2650
wichita,Wichita,KS,20,20173,397532,79000,37.6872,-97.3301
tampa,Tampa,FL,12,12057,403364,71000,27.9506,-82.4572
new_orleans,New Orleans,LA,22,22071,383997,55000,29.9511,-90.0715
bakersfield,Bakersfield,CA,06,06029,407459,03526,35.3733,-119.0187
cleveland,Cleveland,OH,39,39035,372624,16000,41.4993,-81.6944
aurora,Aurora,CO,08,08005|08001,366623,04000,39.7294,-104.8319
honolulu,Honolulu,HI,15,15003,350964,17000,21.3069,-157.8583
lexington,Lexington,KY,21,21067,322570,46027,38.0406,-84.5037
stockton,Stockton,CA,06,06077,320554,75000,37.9577,-121.2908
corpus_christi,Corpus Christi,TX,48,48355,317863,17000,27.8006,-97.3964
st_louis,St. Louis,MO,29,29510,301578,65000,38.6270,-90.1994
pittsburgh,Pittsburgh,PA,42,42003,302971,61000,40.4406,-79.9959
anchorage,Anchorage,AK,02,02020,291247,03000,61.2181,-149.9003
buffalo,Buffalo,NY,36,36029,278349,11000,42.8864,-78.8784
durham,Durham,NC,37,37063,283506,19000,35.9940,-78.8986
madison,Madison,WI,55,55025,269196,48000,43.0731,-89.4012
spokane,Spokane,WA,53,53063,228989,67000,47.6587,-117.4260
salt_lake_city,Salt Lake City,UT,49,49035,200567,67000,40.7608,-111.8910
baton_rouge,Baton Rouge,LA,22,22033,227549,05000,30.4515,-91.1871
des_moines,Des Moines,IA,19,19153,214237,21000,41.5868,-93.6250
birmingham,Birmingham,AL,01,01073,212237,07000,33.5186,-86.8104
rochester,Rochester,NY,36,36055,211328,63000,43.1566,-77.6088
richmond,Richmond,VA,51,51760,226610,67000,37.5407,-77.4360
st_paul,St. Paul,MN,27,27123,311527,58000,44.9537,-93.0900
cincinnati,Cincinnati,OH,39,39061,309317,15000,39.1031,-84.5120
providence,Providence,RI,44,44007,190934,59000,41.8240,-71.4128
