zip,geoid,arealand_zcta,arealand_part
00601,72001,166847909,164781682
00601,72141,166847909,2066227
00602,72003,78546713,78530159
00602,72011,78546713,16554
00603,72005,88957333,88747846
00603,72099,88957333,209487
00606,72093,114825382,94466099
00606,72121,114825382,6960442
00606,72153,114825382,13398841
00610,72003,96129350,82104
00610,72011,96129350,93009966
00610,72083,96129350,342983
00610,72099,96129350,2694297
00611,72141,27570859,27570859
00612,72013,197202754,195161357
00612,72017,197202754,176895
00612,72065,197202754,1864502
00616,72013,28189755,28189755
00617,72017,47538645,47372606
00617,72054,47538645,166039
00622,72023,80724808,80724808
00623,72023,101522968,101522968
00624,72111,121623976,115558559
00624,72113,121623976,6065417
00627,72027,120095653,120058676
00627,72115,120095653,36977
00631,72001,8095945,4091311
00631,72081,8095945,4004634
00636,72125,949819,949819
00637,72079,91091117,1624014
00637,72121,91091117,85628403
00637,72125,91091117,3838700
00638,72039,184928682,169929646
00638,72091,184928682,1167592
00638,72107,184928682,13831444
00641,72001,217850443,78154
00641,72141,217850443,217772289
00646,72051,54524894,52970379
00646,72143,54524894,1554515
00647,72055,40949566,40217156
00647,72079,40949566,732410
00650,72013,82140025,1960361
00650,72017,82140025,872394
00650,72039,82140025,2380547
00650,72054,82140025,39225458
00650,72091,82140025,3504120
00650,72141,82140025,34197145
00652,72013,16685216,16685216
00653,72055,57201263,55739865
00653,72121,57201263,1461398
00656,72059,109153712,105926727
00656,72153,109153712,3226985
00659,72065,106336153,106336153
00660,72067,29314496,29314496
00662,72071,106890325,106890325
00664,72073,121495188,115340542
00664,72141,121495188,6154646
00667,72079,155914156,152931406
00667,72125,155914156,2982750
00669,72081,166051225,155150711
00669,72083,166051225,4449997
00669,72131,166051225,166288
00669,72141,166051225,6284229
00670,72011,120455394,4272383
00670,72083,120455394,115278844
00670,72093,120455394,385645
00670,72097,120455394,518522
00674,72091,112542703,111921830
00674,72145,112542703,620873
00676,72003,126528240,1010761
00676,72005,126528240,13939
00676,72099,126528240,125503540
00677,72003,37733225,300613
00677,72011,37733225,427153
00677,72117,37733225,37005459
00678,72071,75473614,13201331
00678,72115,75473614,58710727
00678,72131,75473614,3561556
00680,72011,166550170,4021373
00680,72097,166550170,156812880
00680,72125,166550170,5715917
00682,72067,42242059,70396
00682,72097,42242059,42171663
00683,72125,127657838,127657838
00685,72071,203807490,23164186
00685,72099,203807490,1976241
00685,72131,203807490,178667063
00687,72101,100676194,100676194
00688,72013,84182898,84182898
00690,72005,5856225,5856225
00692,72143,68708823,68604911
00692,72145,68708823,103912
00693,72091,115018380,319475
00693,72143,115018380,1656884
00693,72145,115018380,113042021
00694,72145,2069783,2069783
00698,72059,162299760,3553656
00698,72153,162299760,158746104
00703,72007,80346808,74857404
00703,72041,80346808,2859243
00703,72045,80346808,2630161
00704,72057,23300028,588414
00704,72123,23300028,22711614
00705,72009,78746040,76526187
00705,72043,78746040,2219853
00707,72095,54196286,54196286
00714,72015,38857653,38857653
00715,72075,32913553,274799
00715,72113,32913553,32638754
00716,72113,22449489,22449489
00717,72113,6145510,6145510
00718,72037,122275140,150705
00718,72103,122275140,122124435
00719,72045,73062132,359906
00719,72047,73062132,1642207
00719,72105,73062132,70969173
00719,72135,73062132,90846
00720,72043,145399456,1021428
00720,72107,145399456,144378028
00723,72015,119150138,15092
00723,72095,119150138,620430
00723,72109,119150138,118514616
00725,72007,107130188,2057990
00725,72025,107130188,93344067
00725,72061,107130188,4834999
00725,72127,107130188,2449159
00725,72129,107130188,2947891
00725,72139,107130188,1496082
00727,72025,58439043,58439043
00728,72113,39878650,39878650
00729,72029,92600431,84749593
00729,72087,92600431,7850838
00730,72113,17191037,17191037
00731,72001,126788110,3774579
00731,72113,126788110,123013531
00735,72037,70903162,67084117
00735,72103,70903162,3819045
00736,72035,142190601,131454582
00736,72041,142190601,10736019
00738,72037,76709539,342279
00738,72053,76709539,76367260
00739,72041,79702683,79702683
00740,72053,1081390,1081390
00741,72069,5896296,5896296
00745,72029,157334018,325448
00745,72119,157334018,157008570
00751,72035,157294693,250906
00751,72123,157294693,157043787
00754,72129,129481143,129481143
00757,72133,84003578,84003578
00765,72147,122392233,122392233
00766,72107,98877455,6578886
00766,72149,98877455,92298569
00767,72069,142912280,963264
00767,72151,142912280,141949016
00769,72043,199632610,195731993
00769,72133,199632610,3900617
00771,72069,87025383,894394
00771,72085,87025383,86130989
00772,72087,42328585,42328585
00773,72089,62418898,62418898
00775,72049,30161189,30161189
00777,72029,69550601,55230
00777,72063,69550601,28586
00777,72077,69550601,68609110
00777,72085,69550601,313474
00777,72129,69550601,544201
00778,72063,76464609,71889882
00778,72129,76464609,4574727
00780,72075,49555814,825219
00780,72113,49555814,48730595
00782,72019,72466122,1898996
00782,72045,72466122,70567126
00783,72019,109068641,1009283
00783,72047,109068641,108047184
00783,72135,109068641,12174
00784,72035,172858135,2804391
00784,72057,172858135,167872705
00784,72109,172858135,2181039
00786,72009,4568280,4568280
00791,72069,110424275,108064148
00791,72085,110424275,1303955
00791,72151,110424275,1056172
00794,72019,88884810,85805763
00794,72043,88884810,3079047
00795,72075,154715929,154715929
00802,78030,77269356,77269356
00820,78010,111685261,111685261
00830,78020,50211282,50211282
00840,78010,80276060,80276060
00850,78010,22223184,22223184
00851,78010,961179,961179
00901,72127,2628102,2628102
00906,72127,8247,8247
00907,72127,5291703,5291703
00909,72127,1690949,1690949
00911,72127,1232506,1232506
00912,72127,960485,960485
00913,72127,839091,839091
00915,72127,3630529,3630529
00917,72127,3536052,3536052
00918,72127,6987285,6987285
00920,72127,9348956,9348956
00921,72127,7948284,7948284
00923,72127,5205883,5205883
00924,72031,12077756,422648
00924,72127,12077756,11655108
00925,72127,1154387,1154387
00926,72061,60121390,484755
00926,72127,60121390,50210153
00926,72139,60121390,9426482
00927,72127,6275250,6275250
00934,72021,3673926,1136003
00934,72061,3673926,2537923
00949,72033,53302864,1668604
00949,72135,53302864,510662
00949,72137,53302864,51123598
00950,72051,6898692,6898692
00951,72137,2774243,2774243
00952,72137,5742602,5742602
00953,72047,69121743,559151
00953,72135,69121743,68056144
00953,72137,69121743,506448
00956,72007,71019565,1004110
00956,72021,71019565,69510215
00956,72135,71019565,505240
00957,72021,11243014,10479373
00957,72135,11243014,763641
00959,72021,15781121,15574820
00959,72061,15781121,117619
00959,72135,15781121,33862
00959,72137,15781121,54820
00960,72021,3632363,3632363
00961,72021,13812664,13679027
00961,72033,13812664,133637
00962,72033,12473681,10713320
00962,72061,12473681,1760361
00965,72061,2344448,2344448
00966,72021,6527024,426760
00966,72061,6527024,5580771
00966,72127,6527024,519493
00968,72061,1180790,1180790
00969,72021,13048560,491420
00969,72061,13048560,11095739
