zip,arealand_zcta,geoid,arealand_part
00601,166847909,7200358,1940807
00602,78546713,7200616,955291
00602,78546713,7247873,4242238
00603,88957333,7200745,6489711
00603,88957333,7209689,1173932
00603,88957333,7268599,733180
00606,114825382,7251270,421474
00610,96129350,7202680,2158299
00610,96129350,7227263,1793801
00610,96129350,7242068,2754830
00610,96129350,7243702,641415
00612,197202754,7203024,595925
00612,197202754,7203368,40170090
00616,28189755,7204658,5289957
00617,47538645,7205346,2511711
00617,47538645,7209603,618072
00617,47538645,7230372,1707689
00617,47538645,7235962,1675756
00617,47538645,7282125,429637
00622,80724808,7207969,2668363
00622,80724808,7224954,1487882
00622,80724808,7263697,1439163
00623,101522968,7207668,327735
00623,101522968,7207969,4404
00623,101522968,7209861,6102672
00623,101522968,7254366,3700033
00623,101522968,7265589,3095773
00624,121623976,7261074,2496899
00624,121623976,7267200,1488689
00624,121623976,7279564,5694628
00624,121623976,7281413,2897905
00624,121623976,7281456,988498
00627,120095653,7201863,2591864
00627,120095653,7211925,2579707
00627,120095653,7223341,901729
00627,120095653,7241810,312430
00627,120095653,7261590,1765505
00627,120095653,7266660,428205
00627,120095653,7288293,1291691
00637,91091117,7245379,615590
00637,91091117,7246282,1885865
00637,91091117,7273544,5566713
00638,184928682,7217773,3009846
00638,184928682,7229682,7153861
00638,184928682,7234242,4992939
00638,184928682,7237336,5414519
00641,217850443,7215623,777847
00641,217850443,7284509,4723608
00646,54524894,7224008,8186081
00646,54524894,7271437,3909200
00646,54524894,7275694,4873110
00646,54524894,7285197,115657
00647,40949566,7229727,784018
00647,40949566,7231189,4360932
00650,82140025,7228824,3912344
00650,82140025,7257862,300200
00653,57201263,7226287,2771323
00653,57201263,7231189,2166934
00653,57201263,7250754,907267
00656,109153712,7232307,1832519
00656,109153712,7236177,2633283
00656,109153712,7248604,1901475
00659,106336153,7214634,1464628
00659,106336153,7220482,1342248
00659,106336153,7233296,2800372
00659,106336153,7268513,4020313
00659,106336153,7268556,1079365
00660,29314496,7235059,11378071
00662,106890325,7236478,6781080
00662,106890325,7254882,828928
00664,121495188,7238370,1252291
00667,155914156,7240950,3869944
00667,155914156,7241767,737014
00667,155914156,7248862,806352
00667,155914156,7258150,873928
00669,166051225,7242498,5244360
00670,120455394,7243788,922401
00674,112542703,7221385,728999
00674,112542703,7241294,2548426
00674,112542703,7250152,5386020
00674,112542703,7282187,2372325
00676,126528240,7200186,649182
00676,126528240,7228367,828309
00676,126528240,7236779,357456
00676,126528240,7244507,368234
00676,126528240,7246800,787801
00676,126528240,7246960,246047
00676,126528240,7253807,348025
00676,126528240,7287638,393405
00677,37733225,7269588,1096226
00677,37733225,7280596,897181
00678,75473614,7210048,2188436
00678,75473614,7268040,4935099
00678,75473614,7275780,3511614
00680,166550170,7252431,24809882
00682,42242059,7235059,70396
00682,42242059,7252431,29534698
00683,127657838,7273372,984614
00683,127657838,7276167,7413895
00685,203807490,7233597,2055969
00685,203807490,7239470,459708
00685,203807490,7277500,5298117
00687,100676194,7205217,1390425
00687,100676194,7229555,927951
00687,100676194,7255097,1454040
00688,84182898,7239875,2943713
00688,84182898,7273716,6743839
00690,5856225,7275608,1252042
00692,68708823,7208700,2553921
00692,68708823,7216139,491907
00692,68708823,7273200,13895
00692,68708823,7285197,4784688
00693,115018380,7216139,2101937
00693,115018380,7221385,7420
00693,115018380,7253678,4786254
00693,115018380,7253979,1802018
00693,115018380,7273200,917337
00693,115018380,7285326,15787231
00698,162299760,7259053,1294910
00698,162299760,7288035,7498899
00703,80346808,7200874,2541965
00703,80346808,7271996,353985
00703,80346808,7277826,802453
00704,23300028,7216526,1340787
00704,23300028,7220310,2411719
00705,78746040,7201218,3958898
00705,78746040,7260257,1322994
00707,54196286,7226502,2201757
00707,54196286,7252345,1517426
00707,54196286,7259139,1176331
00714,38857653,7203927,3605321
00714,38857653,7209087,738869
00714,38857653,7258365,1800470
00714,38857653,7288121,3076256
00715,32913553,7211151,710492
00715,32913553,7213925,1486356
00716,22449489,7263820,21230134
00717,6145510,7263820,6145510
00718,122275140,7223062,1467922
00718,122275140,7224395,571984
00718,122275140,7255828,1625214
00718,122275140,7260945,258971
00718,122275140,7270448,1989735
00719,73062132,7256129,1717341
00720,145399456,7257290,1460486
00723,119150138,7241466,1283121
00723,119150138,7258365,1584927
00723,119150138,7260472,2950709
00725,107130188,7204620,223558
00725,107130188,7210334,17767356
00725,107130188,7241274,377989
00725,107130188,7259450,125556
00725,107130188,7282875,813163
00727,58439043,7210334,10456266
00727,58439043,7233184,1454011
00727,58439043,7242842,906887
00727,58439043,7247336,593750
00727,58439043,7247422,643904
00728,39878650,7263820,27453617
00729,92600431,7207496,940237
00729,92600431,7211345,3806179
00729,92600431,7211710,1080200
00729,92600431,7212828,7299913
00729,92600431,7213065,1756529
00729,92600431,7246626,764991
00729,92600431,7258613,2849748
00729,92600431,7267675,4899635
00729,92600431,7276339,1942060
00729,92600431,7277672,1715071
00729,92600431,7284917,196665
00729,92600431,7286788,104563
00729,92600431,7286796,388245
00729,92600431,7287282,843016
00730,17191037,7263820,14063907
00731,126788110,7220998,453575
00731,126788110,7225835,828208
00731,126788110,7245170,244681
00731,126788110,7251700,1291249
00731,126788110,7254688,1047173
00731,126788110,7263820,1309394
00731,126788110,7282055,2519910
00731,126788110,7285025,277603
00735,70903162,7201003,7091057
00735,70903162,7215924,2850211
00735,70903162,7278317,947819
00736,142190601,7215494,6575775
00736,142190601,7230544,1977680
00736,142190601,7234914,798087
00736,142190601,7259425,234928
00738,76709539,7227964,19996038
00738,76709539,7243057,2099267
00738,76709539,7247701,3100137
00739,79702683,7206679,1495137
00739,79702683,7218074,2891279
00739,79702683,7259420,664999
00739,79702683,7259425,1429337
00739,79702683,7269488,1469260
00739,79702683,7271996,642538
00740,1081390,7227964,1081390
00741,5896296,7266492,4024655
00745,157334018,7206421,479500
00745,157334018,7233683,1541348
00745,157334018,7240348,1708226
00745,157334018,7258613,54637
00745,157334018,7258666,527189
00745,157334018,7271136,3580889
00751,157294693,7218891,4431498
00751,157294693,7242197,988572
00751,157294693,7244003,1378192
00751,157294693,7263503,595178
00751,157294693,7274877,2024566
00751,157294693,7285111,3826366
00754,129481143,7237166,560408
00754,129481143,7277027,4799549
00757,84003578,7225771,413841
00757,84003578,7238241,3324633
00757,84003578,7244089,684095
00757,84003578,7259440,1445272
00757,84003578,7263568,2317087
00757,84003578,7278145,2645149
00765,122392233,7227190,3292459
00765,122392233,7286014,1503383
00766,98877455,7286831,3360230
00767,142912280,7219837,2945605
00767,142912280,7225685,824053
00767,142912280,7251657,2373158
00767,142912280,7263525,1795974
00767,142912280,7272555,1504526
00767,142912280,7287863,3364828
00769,199632610,7218719,4720990
00769,199632610,7247013,2041859
00769,199632610,7251055,3851161
00769,199632610,7257978,1528852
00771,87025383,7208099,3561760
00771,87025383,7240563,2018931
00771,87025383,7244390,3424732
00771,87025383,7264500,363310
00772,42328585,7246368,1337165
00772,42328585,7280639,436155
00772,42328585,7285971,823601
00773,62418898,7247787,2750547
00773,62418898,7263310,1577711
00773,62418898,7268771,2837528
00775,30161189,7222589,2111561
00777,69550601,7225556,1303387
00777,69550601,7239574,3887631
00777,69550601,7246626,55230
00777,69550601,7264500,305784
00778,76464609,7216440,1731907
00778,76464609,7232823,3116023
00778,76464609,7259386,348562
00780,49555814,7201089,281524
00780,49555814,7203174,218977
00780,49555814,7217050,714003
00780,49555814,7221213,975059
00780,49555814,7259422,244054
00780,49555814,7263820,3227502
00782,72466122,7219665,1165734
00782,72466122,7258967,2241977
00782,72466122,7261977,2730256
00783,109068641,7220783,5750949
00783,109068641,7258064,2205371
00784,172858135,7220353,1437556
00784,172858135,7232221,9467542
00784,172858135,7238671,1430631
00784,172858135,7257075,798790
00784,172858135,7264400,2358721
00791,110424275,7203196,1148974
00791,110424275,7204701,1675019
00791,110424275,7209250,619467
00791,110424275,7212568,158056
00791,110424275,7212613,995166
00791,110424275,7235532,12762268
00791,110424275,7240563,501330
00791,110424275,7258602,7778056
00794,88884810,7205690,1983226
00795,154715929,7201089,2042392
00795,154715929,7213925,956566
00795,154715929,7231877,1257140
00795,154715929,7238972,3896654
00795,154715929,7247615,1192478
00795,154715929,7261545,1636701
00795,154715929,7264127,1318209
00795,154715929,7270706,841799
00802,77269356,7816300,3130699
00802,77269356,7818100,862216
00802,77269356,7819000,5108131
00802,77269356,7865530,733480
00802,77269356,7878300,4235909
00820,111685261,7819900,1330890
00830,50211282,7827000,4742478
00830,50211282,7828000,7828060
00840,80276060,7837900,440635
00840,80276060,7839700,2617382
00901,2628102,7276770,2628102
00906,8247,7276770,8247
00907,5291703,7276770,5291703
00909,1690949,7276770,1690949
00911,1232506,7276770,1232506
00912,960485,7276770,960485
00913,839091,7276770,839091
00915,3630529,7212806,811424
00915,3630529,7276770,2819105
00917,3536052,7212806,960855
00917,3536052,7276770,2575197
00918,6987285,7276770,6987285
00920,9348956,7276770,9348956
00921,7948284,7276770,7948284
00923,5205883,7212806,10002
00923,5205883,7276770,5195881
00924,12077756,7214290,422648
00924,12077756,7276770,11655108
00925,1154387,7276770,1154387
00926,60121390,7232522,354216
00926,60121390,7276770,33530375
00926,60121390,7283606,2435549
00927,6275250,7276770,6275250
00934,3673926,7206593,1136003
00934,3673926,7232522,2537923
00949,53302864,7208722,503150
00949,53302864,7211581,1352781
00949,53302864,7211597,93598
00949,53302864,7212441,7270148
00949,53302864,7212560,2585292
00949,53302864,7215193,1668604
00949,53302864,7236263,1405799
00949,53302864,7243294,96453
00949,53302864,7250260,7000452
00949,53302864,7250270,122393
00949,53302864,7257612,135098
00949,53302864,7274189,27273
00949,53302864,7276683,2962875
00949,53302864,7282617,521557
00949,53302864,7282692,157148
00949,53302864,7286250,215276
00949,53302864,7286509,26232
00949,53302864,7286584,132022
00949,53302864,7287240,64631
00949,53302864,7287272,194678
00951,2774243,7282617,999862
00952,5742602,7226362,169341
00952,5742602,7250260,35632
00952,5742602,7274189,2835101
00953,69121743,7212441,506448
00953,69121743,7229813,1664892
00953,69121743,7235403,1715962
00953,69121743,7255355,843013
00953,69121743,7257806,3971768
00953,69121743,7282488,1817751
00956,71019565,7206593,24566004
00957,11243014,7206593,10479373
00959,15781121,7206593,15574820
00959,15781121,7232522,117619
00960,3632363,7206593,3632363
00961,13812664,7206593,13679027
00961,13812664,7215193,133637
00962,12473681,7215193,10713320
00962,12473681,7232522,1760361
00965,2344448,7232522,2344448
00966,6527024,7206593,426760
00966,6527024,7232522,5580771
00966,6527024,7276770,519493
00968,1180790,7232522,1180790
00969,13048560,7206593,491420
00969,13048560,7232522,10412374
00969,13048560,7276770,1461401
00971,41507228,7232522,6913803
00976,45157260,7214290,1124041
00976,45157260,7276770,996879
00976,45157260,7283606,16728064
00979,10071322,7214290,10071322
00982,3736529,7214290,3736529
00983,11192161,7214290,11192161
00985,23917841,7214290,10047107
00987,67158116,7214290,17039474
01001,29247431,2500840,29247431
01002,137931897,2501370,69465283
01003,2082670,2501370,2082670
01005,111859191,2503705,4097646
01007,142111112,2504790,13030679
01008,158470969,2506050,2979218
01009,1806483,2552144,1806483
01011,84938967,2513450,3612426
01013,14659172,2513660,14659172
01020,32273636,2513660,32197131
01020,32273636,2567000,76505
01022,12468872,2513660,12468872
01027,105117136,2519370,34501970
01027,105117136,2546330,226974
01028,33466105,2567000,17042
01030,31155981,2500840,31155981
01033,72025733,2526500,9000737
01038,23888136,2529230,6344540
01040,54816657,2530840,54816657
01050,107144430,2531750,11989803
01053,14893903,2546330,14893903
01057,115364745,2542180,8688783
01060,28147405,2546330,28147405
01062,45199186,2546330,45199186
01063,228872,2546330,228872
01069,72670135,2552144,70157646
01071,40656364,2558615,5961070
01077,79912788,2576030,93435
01079,4163329,2552144,4163329
01080,4313061,2552144,4313061
01082,121753206,2552144,180879
01082,121753206,2572845,16110077
01083,33041299,2573055,3326627
01085,154690428,2576030,119720914
01089,43331574,2577890,43331574
01092,17407745,2578445,3282429
01095,58246826,2552144,1152121
01095,58246826,2579705,14482898
01103,1126124,2567000,1126124
01104,13551122,2567000,13551122
01105,3123274,2567000,3123274
01106,24826538,2536335,23541604
01106,24826538,2567000,1284934
01107,3994637,2567000,3994637
01108,8912392,2567000,8856458
01109,14092648,2567000,14092648
01118,9312986,2567000,9312986
01119,9144298,2567000,9144298
01128,2872228,2567000,2872228
01129,8899440,2567000,8899440
01144,55751,2567000,55751
01151,6135002,2567000,6135002
01201,156363181,2553960,104812683
01220,59281213,2500590,6344667
01225,69442567,2513310,993406
01230,251172611,2526780,3732515
01230,251172611,2531295,1190421
01236,17135580,2531295,1117892
01238,71489759,2534620,3430977
01238,71489759,2535040,86349
01240,61935523,2534935,5168185
01240,61935523,2535040,140835
01242,1189984,2535040,1189984
01247,118920150,2546225,52697981
01267,153603813,2579950,8801262
01301,65652497,2527060,55458172
01331,140280128,2502515,21203904
01342,47687876,2516635,4757267
01344,35723125,2541410,1039042
01349,25562209,2541410,1324454
01360,88863583,2547800,11533829
01364,93229586,2551230,15520207
01366,95665864,2553085,3195125
01370,124803349,2561205,6809236
01373,59737137,2563620,8169692
01376,10563996,2570815,4923597
01420,77850259,2523875,71468187
01420,77850259,2535075,6382072
01430,95158593,2562780,7728985
01432,22065776,2503040,3402518
01432,22065776,2516840,4235413
01434,16865360,2503040,32400
01434,16865360,2516840,11624351
01436,23290538,2503355,6471698
01440,63474669,2525485,57154590
01450,84871359,2527445,4330149
01453,68269233,2535075,68269233
01460,42775107,2536020,9167554
01462,68941180,2523875,596513
01462,68941180,2537385,9835029
01463,58476658,2520310,3667271
01463,58476658,2552770,5363928
01464,39182808,2516840,1710913
01464,39182808,2561555,3414819
01468,56874587,2503355,173404
01469,55982896,2570325,4386815
01475,110775490,2580370,5866654
01506,40215007,2509070,2984586
01510,14640558,2514430,3865771
01515,25547237,2518595,4190724
01516,94927915,2518875,8824840
01518,31698827,2523840,6056419
01521,31810569,2530630,6872784
01523,71046545,2564460,3337685
01532,47853242,2546785,8506944
01534,24641211,2579495,901656
01535,55085933,2547100,3821554
01540,49476950,2551790,8972223
01543,90974490,2558790,7660901
01545,53749207,2582000,51399
01550,52416905,2563345,52416905
01561,97580,2564460,97580
01562,85084292,2566070,5463145
01566,64727988,2523840,2148953
01566,64727988,2568120,13802749
01568,54950393,2571445,6395717
01570,32005106,2573930,7694240
01581,53369163,2575050,4890154
01583,32572779,2582000,24962
01585,72714272,2575365,3272482
01588,20962854,2579495,8532007
01602,15096694,2582000,15096694
01603,11732267,2582000,11544052
01604,17180827,2582000,17174773
01605,14643872,2582000,14643872
01606,15509978,2582000,14509945
01607,7838278,2582000,7279552
01608,1247109,2582000,1247109
01609,9670694,2582000,9670694
01610,5522924,2582000,5522924
01701,43741623,2524960,43741623
01702,21266303,2524960,21121649
01730,32230385,2509875,97764
01731,6053081,2528425,2307230
01731,6053081,2535250,692717
01742,62482814,2575680,8745029
01747,13403684,2530980,4528344
01748,67922993,2531050,3968790
01749,29855341,2531575,14880831
01752,54026863,2538715,54026863
01754,13459977,2539660,13459977
01757,39197844,2541200,26299857
01760,38282127,2514570,22942
01772,35261324,2515340,4702861
01773,35904391,2528425,2275
01773,35904391,2572600,41745
01775,44897979,2539660,32086
01778,38930949,2514570,9842040
01801,32905476,2556165,46854
01801,32905476,2567700,95688
01801,32905476,2581035,32762934
01803,29192609,2509875,29192609
01810,79050120,2501430,9224944
01821,42973865,2553680,9659588
01824,46781002,2537000,344496
01826,53831286,2540710,299905
01830,35918669,2529405,35918669
01832,29413877,2529405,29413877
01835,20231094,2529405,20231094
01840,1322161,2534550,1322161
01841,7882537,2534550,7881520
01841,7882537,2540710,1017
01843,8739521,2534550,8739521
01844,57235671,2534550,6860
01844,57235671,2540710,57228811
01845,68399834,2501430,326085
01850,3524698,2537000,3521443
01851,8362293,2537000,8362293
01852,12879516,2537000,12876608
01854,10257175,2537000,10146265
01867,25808718,2556165,25790524
01867,25808718,2572250,18194
01880,19127855,2572250,19127855
01887,43961038,2580195,43961038
01890,15622016,2580545,15622016
01901,702544,2537490,702544
01902,6137720,2537490,6133202
01902,6137720,2568680,4518
01904,10996730,2537490,10996730
01905,7899658,2537490,7899658
01906,29987389,2537490,2079945
01906,29987389,2560050,27907444
01907,7829328,2537490,2935
01907,7829328,2559105,4121
01907,7829328,2568680,7822272
01908,2786306,2543615,2786306
01913,31836415,2501260,31836415
