city,care_quotient,pillar,metric,raw_value,raw_unit,benchmark,score_0_100,source,vintage
washington_dc,75.1,Social & Relational Care,Care Nonprofits Score (0-100),19.52,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",78.1,IRS Exempt Organizations Business Master File (EO BMF),April 2026
washington_dc,75.1,Institutional Care,Child Care Capacity Score (0-100),6.72,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",44.8,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
washington_dc,75.1,Institutional Care,FQHC Density Score (0-100),11.02,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",73.5,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
washington_dc,75.1,Economic Access to Care,Healthcare Coverage Score (0-100),100.0,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),100.0,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
washington_dc,75.1,Economic Access to Care,Housing Affordability Score (0-100),63.88,% of households not spending >30% of income on housing,90% not cost-burdened,71.0,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
washington_dc,75.1,Social & Relational Care,Library Density Score (0-100),3.77,"public library outlets per 100,000 residents","5 per 100,000",75.4,IMLS Public Libraries Survey,FY2023
washington_dc,75.1,Institutional Care,Nursing Home Capacity Score (0-100),29.43,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",58.9,CMS Care Compare — Nursing Home Provider Information,April 2026
washington_dc,75.1,Social & Relational Care,Religious Institution Density Score (0-100),108.91,"congregations per 100,000 residents","150 per 100,000",72.6,ARDA U.S. Religion Census,2020
washington_dc,75.1,Social & Relational Care,Residential Stability Score (0-100),80.77,% of population in same home 1+ year,95%,85.0,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
washington_dc,75.1,Economic Access to Care,SNAP Coverage Score (0-100),61.61,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),72.5,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
cincinnati,74.4,Social & Relational Care,Care Nonprofits Score (0-100),12.96,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",51.8,IRS Exempt Organizations Business Master File (EO BMF),April 2026
cincinnati,74.4,Institutional Care,Child Care Capacity Score (0-100),5.95,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",39.7,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
cincinnati,74.4,Institutional Care,FQHC Density Score (0-100),12.29,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",81.9,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
cincinnati,74.4,Economic Access to Care,Healthcare Coverage Score (0-100),83.02,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),83.0,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
cincinnati,74.4,Economic Access to Care,Housing Affordability Score (0-100),63.4,% of households not spending >30% of income on housing,90% not cost-burdened,70.4,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
cincinnati,74.4,Social & Relational Care,Library Density Score (0-100),5.82,"public library outlets per 100,000 residents","5 per 100,000",100.0,IMLS Public Libraries Survey,FY2023
cincinnati,74.4,Institutional Care,Nursing Home Capacity Score (0-100),61.01,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",100.0,CMS Care Compare — Nursing Home Provider Information,April 2026
cincinnati,74.4,Social & Relational Care,Religious Institution Density Score (0-100),86.08,"congregations per 100,000 residents","150 per 100,000",57.4,ARDA U.S. Religion Census,2020
cincinnati,74.4,Social & Relational Care,Residential Stability Score (0-100),79.83,% of population in same home 1+ year,95%,84.0,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
cincinnati,74.4,Economic Access to Care,SNAP Coverage Score (0-100),51.62,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),60.7,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
cleveland,73.0,Social & Relational Care,Care Nonprofits Score (0-100),13.26,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",53.0,IRS Exempt Organizations Business Master File (EO BMF),April 2026
