,Factor 1,Factor 2,Factor 3
Resid. Stability,-0.19199276748176877,0.5139254951756972,-0.10213986486842574
Combined Care NPs,0.4898908075728496,-0.10952937524972448,0.03335613292541213
Library Density / density_per_100k,0.5743591562806685,-0.0667841027419923,0.04328943502988624
Religious Density / congregations_per_100k,-0.07394021936173706,0.029077637553654605,0.7154387366876921
FQHC Density,0.5206889785407611,0.17780326223173515,-0.19330125024138275
Nursing Home Capacity / beds_per_1k_65plus,0.23940992040371867,0.04287450983380956,0.14756455159706489
Child Care Capacity / establishments_per_1k_under5,0.181444470322867,-0.0244861810329666,0.49750779061032796
Health Insurance Coverage / coverage_rate,0.14260871224444874,0.4488990650914044,-0.27211865276625913
Housing Affordability,0.019894244222530753,-0.4573095499427101,-0.26784325510294404
SNAP Coverage,0.07550452644789835,0.5233393585017352,0.14928165602000476
